"no","chapter","chinese","pinyin","japanese","comment","supplemental_pinyin"
"1","1","你好！","Nǐ hǎo!","こんにちは！","中国語の基本中の基本だよ。でもね、発音が大事。「ニーハオ」って棒読みにならないように。「你（nǐ）」は3声、「好（hǎo）」も3声。2つ続くと前が2声に変わるの。ní hǎoって感じ。声に出してみて！",""
"2","1","我叫林小雨，你叫什么名字？","Wǒ jiào Lín Xiǎoyǔ, nǐ jiào shénme míngzi?","私は林小雨といいます。あなたのお名前は？","自己紹介の定番。「叫（jiào）」は「〜と呼ばれる」って意味。名前の部分を自分の名前に変えるだけで使えるよ。恥ずかしがらずに言ってみて！",""
"3","1","很高兴认识你！","Hěn gāoxìng rènshi nǐ!","はじめまして、よろしく！","直訳すると「あなたと知り合えてとても嬉しい」。日本語の「よろしく」より気持ちが込もってる表現だよ。初対面でこれを言うと、相手の表情が柔らかくなるの。試してみて！",""
"4","1","你是日本人吗？","Nǐ shì Rìběnrén ma?","あなたは日本人ですか？","「吗（ma）」をつけると疑問文になるの。すごく便利でしょ？「是（shì）」の部分を変えれば色々な質問ができるよ。「你是学生吗？（学生ですか？）」みたいに。",""
"5","1","我是来日本留学的。","Wǒ shì lái Rìběn liúxué de.","私は日本に留学に来ています。","これ、私が毎日使ってる文だよ（笑）。「来〜的」で「〜しに来た」って言えるの。「来日本旅行的（旅行に来た）」「来日本工作的（仕事で来た）」に応用できるよ！",""
"6","2","太好了！","Tài hǎo le!","やった！／最高！","私が一番よく使う言葉かも。「太（tài）」は「すごく・とても」って意味。「好（hǎo）」は「良い」。合わせると「最高すぎる！」って感じ。テスト合格した時、好きなものを食べた時、なんでも使えるよ！",""
"7","2","我很开心！","Wǒ hěn kāixīn!","すごく嬉しい！","「开心（kāixīn）」は「心が開く」って書くの。素敵じゃない？嬉しい時、楽しい時に使ってね。「你让我很开心（あなたのおかげで嬉しい）」って言えたら最高だよ。",""
"8","2","真的吗？！","Zhēn de ma?!","本当に？！","驚いた時の定番。「真的（zhēn de）」は「本当に」。びっくりした時、信じられない時、嬉しいニュースを聞いた時。日常会話でめちゃくちゃ使うよ。リアクション上手になれる魔法の言葉！",""
"9","2","我有点儿难过。","Wǒ yǒudiǎnr nánguò.","ちょっと悲しい。","「有点儿（yǒudiǎnr）」は「少し・ちょっと」。これをつけると感情を柔らかく伝えられるの。「难过（nánguò）」は「心が苦しい・悲しい」って意味。無理して元気なふりしなくていい時、使ってみて。",""
"10","2","没事，别担心。","Méi shì, bié dānxīn.","大丈夫、心配しないで。","友達を励ます時の定番フレーズ。「没事（méi shì）」は「何でもない・大丈夫」、「别担心（bié dānxīn）」は「心配しないで」。誰かが落ち込んでる時、そっと言えたらかっこいいよね。",""
"11","2","我好紧张！","Wǒ hǎo jǐnzhāng!","めちゃくちゃ緊張してる！","「紧张（jǐnzhāng）」は緊張・ドキドキ両方に使えるの。試験前でも、好きな人の前でも（笑）。「好（hǎo）」を感情の前につけると「すごく〜」って強調になるよ。",""
"12","2","我累了。","Wǒ lèi le.","疲れた。","シンプルだけど、これが言えると一気に距離が縮まるの。「累（lèi）」は肉体的な疲れにも精神的な疲れにも使える。「今天好累（今日めちゃ疲れた）」もよく使うよ。",""
"13","2","压力好大。","Yālì hǎo dà.","プレッシャーがすごい。","「压力（yālì）」はプレッシャー・ストレス。「大（dà）」は大きい。現代人みんな共感できる言葉だよね。私も論文の締め切り前によく言ってる（笑）。",""
"14","2","太可爱了！","Tài kě'ài le!","めちゃくちゃかわいい！","「可爱（kě'ài）」はかわいい。人にも動物にも物にも使えるの。日本語の「かわいい」と同じ感覚で使っていいよ。これ言われると誰でも嬉しいから、積極的に使って！",""
"15","2","我有些不安。","Wǒ yǒuxiē bù'ān.","なんか不安だな。","「不安（bù'ān）」は日本語と同じ意味。「有些（yǒuxiē）」は「少し・なんとなく」。完全に不安じゃないけど、モヤモヤしてる時にぴったりの表現。気持ちに正直でいることって大事だよ。",""
"16","3","我喜欢你。","Wǒ xǐhuan nǐ.","あなたのことが好き。","「喜欢（xǐhuan）」は「好き・好む」。「爱（ài）」より軽い好きの表現。友達にも、好きな人にも使えるよ。「我喜欢中文（中国語が好き）」みたいに物にも使えるの。まずここから練習してみて！",""
"17","3","你真的很棒！","Nǐ zhēn de hěn bàng!","あなた本当にすごい！","「棒（bàng）」は「すごい・最高」って意味のスラング的な表現。褒め言葉の中でも特にテンションが上がる言葉。中国語が上手く言えた時、私がこれを言ったら素直に喜んでね（笑）。",""
"18","3","谢谢你一直陪着我。","Xièxie nǐ yìzhí péizhe wǒ.","ずっと一緒にいてくれてありがとう。","「陪（péi）」は「寄り添う・一緒にいる」。単純な「ありがとう」より深い感謝の気持ちが伝わるの。大切な人に言えたら、絶対に喜ばれる。この本を読み終わったら、誰かに言ってみて。",""
"19","3","你笑起来真好看。","Nǐ xiào qǐlái zhēn hǎokàn.","笑顔が素敵だね。","「笑起来（xiào qǐlái）」は「笑った時」、「好看（hǎokàn）」は「見た目が良い・素敵」。これ言われたら誰でも嬉しいよね。褒め上手になると、人間関係が変わるよ。",""
"20","3","我最喜欢你了。","Wǒ zuì xǐhuan nǐ le.","あなたのことが一番好き。","「最（zuì）」は「一番・最も」。「喜欢」に「最」をつけるだけで気持ちが倍増する。「私のこと？」って顔されたら最高だよね。ドキドキしながら言ってみて！",""
"21","3","有你在真好。","Yǒu nǐ zài zhēn hǎo.","あなたがいてくれてよかった。","「有你在（yǒu nǐ zài）」は「あなたがいる」。シンプルだけど、これが一番刺さる言葉だと私は思う。言葉より気持ちが大事、でも言葉にしないと伝わらない。勇気を出して言ってみて。",""
"22","3","我爱你。","Wǒ ài nǐ.","愛してる。","中国語で一番重い愛の言葉。「喜欢」より何倍も深い意味がある。だから中国人はそう簡単に使わないの。でもね、言われた時の破壊力は最強。…私はまだ言ったことないけど（笑）。",""
"23","3","你对我很重要。","Nǐ duì wǒ hěn zhòngyào.","あなたは私にとって大切な人。","「重要（zhòngyào）」は重要・大切。「对我（duì wǒ）」は「私にとって」。愛してるより言いやすくて、でも気持ちがしっかり伝わる。好きな人に言ってみたい言葉ナンバーワン。",""
